State/UT,Year,Mode,Total
Andhra Pradesh,2001,Two Wheeler,869
Andhra Pradesh,2002,Bicycle,175
Andhra Pradesh,2002,Bus,1102
Andhra Pradesh,2002,Car,469
Andhra Pradesh,2002,Jeep,548
Andhra Pradesh,2002,Other Motor Vehicles,517
Andhra Pradesh,2002,Others,897
Andhra Pradesh,2002,Pedestrian,583
Andhra Pradesh,2002,Three Wheeler,912
Andhra Pradesh,2002,Truck/Lorry,3139
Andhra Pradesh,2002,Two Wheeler,1009
Andhra Pradesh,2003,Bicycle,168
Andhra Pradesh,2003,Bus,1105
Andhra Pradesh,2003,Car,645
Andhra Pradesh,2003,Jeep,731
Andhra Pradesh,2003,Other Motor Vehicles,421
Andhra Pradesh,2003,Others,1152
Andhra Pradesh,2003,Pedestrian,595
Andhra Pradesh,2003,Three Wheeler,967
Andhra Pradesh,2003,Truck/Lorry,3033
Andhra Pradesh,2003,Two Wheeler,1351
Andhra Pradesh,2004,Bicycle,140
Andhra Pradesh,2004,Bus,1018
Andhra Pradesh,2004,Car,576
Andhra Pradesh,2004,Jeep,707
Andhra Pradesh,2004,Other Motor Vehicles,625
Andhra Pradesh,2004,Others,1276
Andhra Pradesh,2004,Pedestrian,397
Andhra Pradesh,2004,Three Wheeler,1530
Andhra Pradesh,2004,Truck/Lorry,3153
Andhra Pradesh,2004,Two Wheeler,1538
Andhra Pradesh,2005,Bicycle,187
Andhra Pradesh,2005,Bus,1040
Andhra Pradesh,2005,Car,583
Andhra Pradesh,2005,Jeep,615
Andhra Pradesh,2005,Other Motor Vehicles,513
Andhra Pradesh,2005,Others,1472
Andhra Pradesh,2005,Pedestrian,577
Andhra Pradesh,2005,Three Wheeler,1362
Andhra Pradesh,2005,Truck/Lorry,3208
Andhra Pradesh,2005,Two Wheeler,1387
Andhra Pradesh,2006,Bicycle,180
Andhra Pradesh,2006,Bus,1309
Andhra Pradesh,2006,Car,763
Andhra Pradesh,2006,Jeep,607
Andhra Pradesh,2006,Other Motor Vehicles,492
Andhra Pradesh,2006,Others,1595
Andhra Pradesh,2006,Pedestrian,676
Andhra Pradesh,2006,Three Wheeler,1838
Andhra Pradesh,2006,Truck/Lorry,3311
Andhra Pradesh,2006,Two Wheeler,1890
Andhra Pradesh,2007,Bicycle,346
Andhra Pradesh,2007,Bus,1278
Andhra Pradesh,2007,Car,885
Andhra Pradesh,2007,Jeep,656
Andhra Pradesh,2007,Other Motor Vehicles,505
Andhra Pradesh,2007,Others,1638
Andhra Pradesh,2007,Pedestrian,864
Andhra Pradesh,2007,Three Wheeler,2054
Andhra Pradesh,2007,Truck/Lorry,3316
Andhra Pradesh,2007,Two Wheeler,2220
Andhra Pradesh,2008,Bicycle,267
Andhra Pradesh,2008,Bus,1350
Andhra Pradesh,2008,Car,1102
Andhra Pradesh,2008,Jeep,775
Andhra Pradesh,2008,Other Motor Vehicles,629
Andhra Pradesh,2008,Others,1879
Andhra Pradesh,2008,Pedestrian,742
Andhra Pradesh,2008,Three Wheeler,1902
Andhra Pradesh,2008,Truck/Lorry,3365
Andhra Pradesh,2008,Two Wheeler,2147
Andhra Pradesh,2009,Bicycle,171
Andhra Pradesh,2009,Bus,1352
Andhra Pradesh,2009,Car,902
Andhra Pradesh,2009,Jeep,568
Andhra Pradesh,2009,Other Motor Vehicles,1005
Andhra Pradesh,2009,Others,2693
Andhra Pradesh,2009,Pedestrian,508
Andhra Pradesh,2009,Three Wheeler,2010
Andhra Pradesh,2009,Truck/Lorry,3120
Andhra Pradesh,2009,Two Wheeler,2187
Andhra Pradesh,2010,Bicycle,195
Andhra Pradesh,2010,Bus,1540
Andhra Pradesh,2010,Car,1269
Andhra Pradesh,2010,Jeep,862
Andhra Pradesh,2010,Other Motor Vehicles,868
Andhra Pradesh,2010,Others,1787
Andhra Pradesh,2010,Pedestrian,519
Andhra Pradesh,2010,Three Wheeler,2265
Andhra Pradesh,2010,Truck/Lorry,3453
Andhra Pradesh,2010,Two Wheeler,2579
Andhra Pradesh,2011,Bicycle,137
Andhra Pradesh,2011,Bus,1194
Andhra Pradesh,2011,Car,1159
Andhra Pradesh,2011,Jeep,841
Andhra Pradesh,2011,Other Motor Vehicles,997
Andhra Pradesh,2011,Others,1852
Andhra Pradesh,2011,Pedestrian,523
Andhra Pradesh,2011,Three Wheeler,1882
Andhra Pradesh,2011,Truck/Lorry,3602
Andhra Pradesh,2011,Two Wheeler,2971
Andhra Pradesh,2012,Bicycle,181
Andhra Pradesh,2012,Bus,1374
Andhra Pradesh,2012,Car,1338
Andhra Pradesh,2012,Jeep,617
Andhra Pradesh,2012,Other Motor Vehicles,703
Andhra Pradesh,2012,Others,2191
Andhra Pradesh,2012,Pedestrian,695
Andhra Pradesh,2012,Three Wheeler,1734
Andhra Pradesh,2012,Truck/Lorry,3432
Andhra Pradesh,2012,Two Wheeler,2701
Andhra Pradesh,2013,Bicycle,181
Andhra Pradesh,2013,Bus,1182
Andhra Pradesh,2013,Car,1616
Andhra Pradesh,2013,Jeep,614
Andhra Pradesh,2013,Other Motor Vehicles,761
Andhra Pradesh,2013,Others,1645
